Series_Title,Released_Year,Runtime,Genre,IMDB_Rating,Director,Star1,No_of_Votes,Gross,Metascore
300,2006,117,Action,7.6,Zack Snyder,Gerard Butler,732876,210614939,52
1917,2019,119,Drama,8.3,Sam Mendes,Dean-Charles Chapman,425844,159227644,78
(500) Days of Summer,2009,95,Comedy,7.7,Marc Webb,Zooey Deschanel,472242,32391374,76
12 Angry Men,1957,96,Crime,9,Sidney Lumet,Henry Fonda,689845,4360000,96
12 Years a Slave,2013,134,Biography,8.1,Steve McQueen,Chiwetel Ejiofor,640533,56671993,96
2001: A Space Odyssey,1968,149,Adventure,8.3,Stanley Kubrick,Keir Dullea,603517,56954992,84
21 Grams,2003,124,Crime,7.6,Alejandro G. Iñárritu,Sean Penn,224545,16290476,70
25th Hour,2002,135,Drama,7.6,Spike Lee,Edward Norton,169708,13060843,68
28 Days Later...,2002,113,Drama,7.6,Danny Boyle,Cillian Murphy,376853,45064915,73
3 Idiots,2009,170,Comedy,8.4,Rajkumar Hirani,Aamir Khan,344445,6532908,67
3:10 to Yuma,2007,122,Action,7.7,James Mangold,Russell Crowe,288797,53606916,76
"4 luni, 3 saptamâni si 2 zile",2007,113,Drama,7.9,Cristian Mungiu,Anamaria Marinca,56625,1185783,97
50/50,2011,100,Comedy,7.6,Jonathan Levine,Joseph Gordon-Levitt,315426,35014192,72
8½,1963,138,Drama,8,Federico Fellini,Marcello Mastroianni,108844,50690,91
A Beautiful Mind,2001,135,Biography,8.2,Ron Howard,Russell Crowe,848920,170742341,72
A Bronx Tale,1993,121,Crime,7.8,Robert De Niro,Robert De Niro,128171,17266971,80
A Christmas Story,1983,93,Comedy,7.9,Bob Clark,Peter Billingsley,132947,20605209,77
A Clockwork Orange,1971,136,Crime,8.3,Stanley Kubrick,Malcolm McDowell,757904,6207725,77
A Few Good Men,1992,138,Drama,7.7,Rob Reiner,Tom Cruise,235388,141340178,62
A Hard Day's Night,1964,87,Comedy,7.6,Richard Lester,John Lennon,40351,13780024,96
A Little Princess,1995,97,Drama,7.7,Alfonso Cuarón,Liesel Matthews,32236,10019307,83
A Man for All Seasons,1966,120,Biography,7.7,Fred Zinnemann,Paul Scofield,31222,28350000,72
A Night at the Opera,1935,96,Comedy,7.9,Sam Wood,Edmund Goulding,30580,2537520,
A Star Is Born,2018,136,Drama,7.6,Bradley Cooper,Lady Gaga,334312,215288866,88
A Streetcar Named Desire,1951,122,Drama,8,Elia Kazan,Vivien Leigh,99182,8000000,97
A Wednesday,2008,104,Action,8.1,Neeraj Pandey,Anupam Kher,73891,573329738,
Ôkami kodomo no Ame to Yuki,2012,117,Animation,8.1,Mamoru Hosoda,Aoi Miyazaki,38803,224400323,71
À bout de souffle,1960,90,Crime,7.8,Jean-Luc Godard,Jean-Paul Belmondo,73251,336705,
About Time,2013,123,Comedy,7.8,Richard Curtis,Domhnall Gleeson,303032,15322921,55
Abre los ojos,1997,119,Drama,7.7,Alejandro Amenábar,Eduardo Noriega,64082,368234,
Ace in the Hole,1951,111,Drama,8.1,Billy Wilder,Kirk Douglas,31568,3969893,72
Adams æbler,2005,94,Comedy,7.8,Anders Thomas Jensen,Ulrich Thomsen,45717,1305,51
Adaptation.,2002,115,Comedy,7.7,Spike Jonze,Nicolas Cage,178565,22245861,83
After Hours,1985,97,Comedy,7.7,Martin Scorsese,Griffin Dunne,59635,10600000,90
"Aguirre, der Zorn Gottes",1972,95,Action,7.9,Werner Herzog,Klaus Kinski,52397,508046921,
Ah-ga-ssi,2016,145,Drama,8.1,Chan-wook Park,Kim Min-hee,113649,2006788,84
Airlift,2016,130,Drama,8,Raja Menon,Akshay Kumar,52897,96927481,
Airplane!,1980,88,Comedy,7.7,Jim Abrahams,David Zucker,214882,83400000,78
Ajeossi,2010,119,Action,7.8,Jeong-beom Lee,Won Bin,62848,6460,
